Date;Prod;Sales;CPI;CpiCig;GDP;Taxes;Unemp_rate
gen-04;2932.197;2586.972;103.3;122.4;1464152;11.1;7.3
feb-04;2675.718;2535.635;103.5;122.3;1463305;11.1;7.3
mar-04;3208.14;3154.586;103.9;122.4;1476416;11.1;7.3
apr-04;3107.788;2992.174;104.1;123.8;1480256;11.1;7.2
mag-04;3185.678;3241.38;105;125.1;1481764;11.1;7.1
giu-04;3772.473;3334.575;105.1;125.9;1489057;11.1;7.2
lug-04;2562.059;3345.682;105;126;1490489;11.1;7.1
ago-04;3238.115;3444.878;104.8;126.3;1496855;11.1;7
set-04;3694.043;3272.152;105;126.3;1501096;11.1;6.9
ott-04;3388.046;3366.947;105.2;126;1501618;11.1;7.1
nov-04;3801.4;2711.863;105.6;126;1507285;11.1;7.2
dic-04;2345.731;3286.9;105.4;126;1507620;11.1;7.1
gen-05;2967.012;2600.13;105.3;126.6;1514960;11.725;6.9
feb-05;3071.744;2729.526;105.7;126.5;1516009;11.725;7
mar-05;3364.751;2914.081;106.3;128.2;1510876;11.725;6.9
apr-05;3610.165;2821.311;106.6;128.1;1522079;11.725;6.7
mag-05;3004.348;3129.694;106.7;129.7;1528603;11.725;7
giu-05;3423.538;3510.77;106.9;129.8;1533199;11.725;6.8
lug-05;3073.654;3160.294;107.1;129.7;1537159;11.725;6.7
ago-05;3224.215;3464.834;107.5;129.6;1542983;11.725;6.7
set-05;3282.396;3175.082;108.4;129.8;1544269;11.725;6.7
ott-05;3465.835;2863.755;107.9;129.8;1549474;11.725;6.7
nov-05;3140.783;3205.976;107.7;129.7;1557964;11.725;6.3
dic-05;2654.662;3441.805;107.6;129.5;1566198;11.725;6.6
gen-06;2302.406;2243.835;108.2;129.6;1570036;11.725;6.7
feb-06;2778.209;2479.568;108;130.4;1573552;12.35;6.6
mar-06;2499.46;2343.905;108.6;132.4;1577153;12.35;6.5
apr-06;2280.742;2179.266;109.2;132.8;1577442;12.35;6.5
mag-06;2160.048;2570.828;109.7;132.8;1578059;12.35;6.2
giu-06;2334.257;2447.757;109.5;132.7;1575416;12.35;6.3
lug-06;1799.85;2191.462;109.6;132.5;1578273;12.35;6.5
ago-06;1925.677;2026.782;109.8;132.5;1579408;12.35;6.5
set-06;1891.155;1659.78;109.2;132.6;1577137;12.35;6.5
ott-06;1992.399;1908.206;109;133.1;1579661;12.35;6.3
nov-06;2081.538;1628.408;109.2;133.3;1583186;12.35;6.5
dic-06;1098.942;1632.174;109.4;135.5;1593220;12.35;6.3
gen-07;1340.301;1299.789;109.4;136.2;1589916;12.35;6.4
feb-07;1335.121;1176.032;110.2;136;1597824;12.35;6.3
mar-07;1111.453;1078.46;111.1;135.9;1601283;12.35;6.3
apr-07;1538.435;1567.359;111.6;136.1;1603425;12.35;6.3
mag-07;1951.655;1721.67;112.1;137.7;1610464;12.35;6.2
giu-07;1748.191;1491.889;111.9;139.7;1615014;12.35;6.1
lug-07;1215.844;1696.198;112;139.6;1614681;12.35;6
ago-07;1593.183;1543.894;111.7;139.8;1619358;12.35;6
set-07;1405.175;1318.284;111.9;139.9;1616522;12.35;6
ott-07;1559.976;1579.999;111.6;140;1617956;12.35;6
nov-07;1785.177;1420.338;111.9;139.6;1619351;12.35;6.1
dic-07;1187.291;1651.799;112;139.8;1613074;12.35;6.2
gen-08;1461.478;1272.531;111.8;139.8;1619678;12.35;6.1
feb-08;1330.264;1238.644;112.2;139.5;1616737;12.35;6.1
mar-08;1443.605;1313.921;112.6;139.7;1619632;12.35;6.2
apr-08;1715.296;1611.215;113.5;140;1623011;12.35;6.2
mag-08;1912.013;1597.972;114.6;140.4;1622950;12.35;6.2
giu-08;1705.12;1614.044;115.4;141.4;1626157;12.35;6.1
lug-08;1270.621;1680.543;115.8;141.3;1633235;12.35;6.2
ago-08;1396.651;1509.406;115.6;141.7;1631956;12.35;6.2
set-08;1883.097;1571.728;115.7;141.9;1632320;12.35;6.3
ott-08;1775.924;1693.434;114.5;142.6;1630551;12.35;6.4
nov-08;1672.566;1309.71;114.1;142.8;1614127;12.35;6.7
dic-08;1056.168;1720.482;113.3;143.1;1591987;12.35;7
gen-09;1581.209;1320.02;113;143.1;1584341;12.35;7.5
feb-09;1409.088;1467.071;113.8;143.4;1576119;12.35;8.1
mar-09;1660.612;1874.764;114;144.3;1563343;12.35;8.3
apr-09;1706.208;1464.744;113.9;144.2;1558296;12.35;8.4
mag-09;1763.39;1467.612;114.7;145.3;1556689;12.35;8.6
giu-09;1897.136;1763.945;115.1;146.4;1558532;12.35;8.8
lug-09;1186.496;1744.863;114.7;146.7;1561083;12.35;8.8
ago-09;1608.292;1779.045;114.7;146.4;1560446;12.35;8.8
set-09;2049.342;1980.274;114.7;146.5;1572192;12.35;8.5
ott-09;2132.535;1783.358;114.6;146.4;1573879;12.35;8.5
nov-09;2177.225;1764.617;115.2;146.2;1583102;12.35;8.6
dic-09;1347.957;1838.923;114.8;146.3;1587706;12.35;8.6
gen-10;1748.304;1691.018;115.1;146.4;1597519;12.35;8.4
feb-10;1823.877;1459.973;115.6;146.9;1605865;12.35;8.4
mar-10;2084.835;2203.58;115.6;146.8;1613597;12.35;8.3
apr-10;2097.143;1907.087;116;147.5;1611635;12.35;8.2
mag-10;1992.203;1881.017;116.3;147.4;1618686;12.35;8.1
giu-10;2636.636;2513.228;116.2;147.7;1622883;12.35;8
lug-10;1856.695;1934.3;116.8;153.2;1625143;12.35;8.2
ago-10;2048.491;1995.493;116.7;153.2;1630031;12.35;8.2
set-10;1937.091;1811.24;116.9;153.2;1629843;12.35;8.2
ott-10;1791.801;1709.285;117.4;153.3;1638232;12.35;8.1
nov-10;1930.908;1697.942;117.5;153.5;1645952;12.35;7.8
dic-10;1429.117;2128.112;117.5;153.8;1657377;12.35;7.8
gen-11;1832.25;1551.233;117.8;154.3;1662768;12.35;7.8
feb-11;1629.084;1607.685;118.1;154.3;1659773;12.35;7.8
mar-11;1973.125;1729.115;119.4;155.2;1664906;12.35;7.8
apr-11;1553.652;1824.399;119.8;155.7;1665169;12.35;7.8
mag-11;1959.661;2154.743;120.6;156.3;1661580;12.35;7.7
giu-11;2213.079;1961.032;119.8;156.2;1668949;12.35;7.7
lug-11;1872.596;1799.739;120;156.2;1680498;12.35;7.4
ago-11;2107.134;1975.365;120.3;156.3;1689080;12.35;7.4
set-11;1948.643;1825.318;120.6;156.3;1693895;12.35;7.4
ott-11;1859.876;1789.841;120.8;156.6;1693809;12.35;7.5
nov-11;1946.798;1746.602;120.9;156.4;1695694;12.35;7.6
dic-11;1606.296;1786.556;120.2;156.5;1703826;12.35;7.5
gen-12;1591.432;1599.729;120.7;156.7;1702312;12.35;7.7
feb-12;1628.309;1631.452;121.2;156.9;1697912;12.35;7.6
mar-12;1971.517;1867.846;121.7;157.9;1702210;12.35;7.3
apr-12;1677.16;1545.828;122.2;158;1708110;12.35;7.4
mag-12;2023.708;1993.64;122.1;158.1;1710842;12.35;7.5
giu-12;1946.163;1943.445;121.6;158;1711716;12.35;7.4
lug-12;1752.578;1964.757;121.5;157.8;1715089;12.35;7.3
ago-12;2198.416;2093.639;121.8;157.9;1712835;12.35;7.4
set-12;1929.044;1662.497;122;157.7;1712611;12.35;7.4
ott-12;2187.71;1870.621;122.2;158;1711824;12.35;7.4
nov-12;2093.46;1668.092;121.9;158.7;1719965;12.35;7.3
dic-12;1306.312;1892.325;121.2;159.5;1719763;12.35;7.2
gen-13;1492.505;1577.409;121.3;160;1729586;12.35;7.1
feb-13;1577.591;1628.581;122.7;160.2;1734805;12.35;7
mar-13;1881.072;1665.807;122.9;161.2;1740839;12.35;7.3
apr-13;1973.585;1877.481;122.7;161.5;1743937;12.35;7.2
mag-13;1986.489;2068.125;123;162.2;1748724;12.35;7
giu-13;1889.074;1920.469;123;162.4;1742396;12.35;7.2
lug-13;2181.567;2134.653;123.1;162.6;1752447;12.35;7.3
ago-13;1705.405;1936.411;123.1;162.9;1760130;12.35;7.2
set-13;1828.464;1880.603;123.3;162.9;1766098;12.35;7.1
ott-13;2070.188;1928.384;123;163;1775606;12.35;7.2
nov-13;2080.455;1622.399;123;163.2;1779954;12.35;7.1
dic-13;1383.787;1962.962;122.7;163.1;1772541;12.35;7.4
gen-14;1754.133;1601.259;123.1;163.1;1773250;12.35;7.2
feb-14;1788.694;1425.039;124.1;167.7;1782226;12.35;7.2
mar-14;1795.956;1636.017;124.8;173.4;1787024;12.35;7.1
apr-14;1901.657;1646.001;125.2;174.7;1790684;12.35;7.1
mag-14;2117.545;1872.175;125.8;176.9;1802034;13.975;7.3
giu-14;1983.107;1984.803;125.9;179.2;1810319;13.975;7.1
lug-14;2068.158;2073.018;125.7;180;1812914;13.975;7.1
ago-14;1525.337;1770.111;125.7;181.3;1809135;13.975;7
set-14;1755.396;1904.652;125.8;181.4;1816399;13.975;7
ott-14;1794.158;1771.918;125.9;181.8;1821619;13.975;6.8
nov-14;1665.171;1550.97;125.4;181.8;1822817;13.975;6.8
dic-14;1200.415;1889.531;124.5;181.7;1825584;13.975;6.7
gen-15;1562.457;1362.177;124.3;182.7;1817974;13.975;6.8
feb-15;1502.702;1413.596;125.4;184.3;1815506;13.975;6.9
mar-15;1839.53;1654.393;126.3;184.4;1814460;13.975;6.8
apr-15;2070.281;1695.852;126.2;185.8;1813921;13.975;6.9
mag-15;1886.848;1767.155;126.9;186.3;1812920;13.975;6.8
giu-15;1890.465;2082.119;127.2;186.8;1817855;13.975;6.9
lug-15;1878.719;2036.715;127.3;186.8;1822436;13.975;6.9
ago-15;1661.583;1825.219;127.3;187.7;1826294;13.975;7
set-15;1972.663;1858.106;127.1;188.5;1818765;13.975;7.1
ott-15;1866.82;1696.3;127.2;188.4;1820488;13.975;7
nov-15;1729.625;1687.443;127.1;189.8;1824776;13.975;7.1
dic-15;1320.033;1827.439;126.5;190;1826829;13.975;7.2
gen-16;1582.372;1549.799;126.8;191.3;1837860;13.975;7.3
feb-16;1539.235;1460.571;127.1;193.3;1832584;15.475;7.3
mar-16;1859.628;1758.898;127.9;195.8;1825855;15.475;7.2
apr-16;1902.514;1637.72;128.3;196;1830002;15.475;7.3
mag-16;2027.894;2033.995;128.8;196.3;1819666;15.475;7
giu-16;1927.781;2033.05;129.1;197;1828411;15.475;6.9
lug-16;1691.443;1837.192;128.9;197.5;1839206;15.475;6.9
ago-16;1967.608;2051.238;128.7;197.6;1843452;15.475;6.9
set-16;1952.828;1867.634;128.8;198.2;1848118;15.475;7
ott-16;1874.073;1653.817;129.1;198.9;1847038;15.475;6.9
nov-16;2172.098;1871.499;128.6;198.8;1853836;15.475;6.8
dic-16;1415.311;1997.7;128.4;198.6;1858876;15.475;6.9
gen-17;1653.404;1228.109;129.5;200.4;1867798;15.475;6.8
feb-17;1604.952;1376.929;129.7;201.7;1872099;15.475;6.6
mar-17;1880.772;1592.091;129.9;202.2;1878420;15.475;6.7
apr-17;1580.787;1485.6;130.4;203.7;1887380;16.475;6.5
mag-17;1935.191;2054.875;130.5;204.7;1894834;16.475;6.6
giu-17;1925.349;1796.52;130.4;206.8;1898387;16.475;6.5
lug-17;1673.252;1787.128;130.4;207.9;1901643;16.475;6.3
ago-17;1846.273;2033.892;130.5;208.3;1900327;16.475;6.2
set-17;1655.521;1752.771;130.8;208.6;1903852;16.475;6.2
ott-17;1970.745;1763.759;130.9;208.9;1907305;16.475;6.4
nov-17;2175.761;1624.214;131.3;209.4;1916041;16.475;6.1
dic-17;1166.84;1932.982;130.8;209.2;1922738;16.475;6
gen-18;1548.314;1325.425;131.7;211;1922784;16.475;5.9
feb-18;1509.441;1383.982;132.5;212.6;1930694;16.475;6
mar-18;1850.556;1667.976;132.9;217.5;1935532;16.475;5.8
apr-18;1664.5;1568.08;133.3;222.6;1937496;18.475;5.8
mag-18;1822.172;2002.748;133.4;223.1;1948948;18.475;5.9
giu-18;1608.183;1785.998;133.6;226;1950488;18.475;6
lug-18;1831.275;1802.864;134.3;226.3;1957338;18.475;5.9
ago-18;1832.769;1999.349;134.2;226.5;1961105;18.475;6
set-18;1677.927;1502.671;133.7;226.8;1963911;18.475;5.8
ott-18;2072.293;1712.575;134.1;226.5;1967946;18.475;5.7
nov-18;2067.643;1690.928;133.5;226.1;1963948;18.475;5.7
dic-18;1388.125;1645.486;133.4;226.6;1964898;18.475;5.7
gen-19;1840.209;1277.868;133.6;229;1966439;18.475;5.7
feb-19;1834.323;1271.357;134.5;230.6;1962946;18.475;5.8
mar-19;2068.623;1448.17;135.4;229.6;1974072;18.475;5.9
apr-19;1852.136;1543.485;136;231.3;1984086;18.475;5.7
mag-19;1833.948;1768.67;136.6;231.2;1991679;18.475;5.4
giu-19;1739.08;1607.691;136.3;232.3;1995768;18.475;5.6
lug-19;1763.322;1699.265;137;232;1996463;18.475;5.8
ago-19;1402.511;1735.092;136.8;232.2;1996572;18.475;5.8
set-19;1920.866;1494.682;136.2;232.4;1999283;18.475;5.6
ott-19;1872.788;1590.038;136.6;233.5;2000634;18.475;5.6
nov-19;1816.321;1779.303;136.4;235.1;2000233;18.475;5.9
dic-19;1187.327;1366.58;136.4;235.5;2007421;18.475;5.6
gen-20;1189.156;1287.983;136.8;240.6;2010802;18.475;5.5
feb-20;1397.683;1380.956;137.4;241.7;2014964;18.475;5.7
mar-20;1645.246;1769.508;136.6;242.6;1863478;18.475;8.4
apr-20;1388.562;1309.294;135.7;244.2;1662008;18.475;13.6
mag-20;1351.697;1576.457;136.1;244;1735686;18.475;14.1
giu-20;1802.899;1821.939;137.2;244.2;1836134;18.475;12.4
lug-20;1830.227;1782.229;137.2;244.3;1883201;18.475;11
ago-20;1480.386;1838.825;137;244.5;1901415;18.475;10.2
set-20;1694.079;1541.495;136.9;247.3;1918805;18.475;9.2
ott-20;1615.539;1527.933;137.5;249.7;1930273;18.475;9
nov-20;1903.043;1418.87;137.7;249.6;1943992;18.475;8.7
dic-20;1213.124;1808.851;137.4;249.6;1948654;18.475;8.9
gen-21;1652.568;1295.528;138.2;252.3;1957148;18.475;9.2
feb-21;1631.039;1233.46;138.9;254.5;1961960;18.475;8.5
mar-21;1900.095;1476.132;139.6;255.2;1980323;18.475;7.6
apr-21;1513.128;1441.452;140.3;259.9;1960536;18.475;8.2
mag-21;1408.225;1275.407;141;266.5;1950246;18.475;8.2
giu-21;1361.679;1670.596;141.4;267.5;1966023;18.475;7.8
lug-21;1114.317;1324.338;142.3;269.3;1976370;18.475;7.5
ago-21;931.211;1456.605;142.6;269.8;1987967;18.475;7.2
set-21;1159.061;1356.947;142.9;269.9;1994605;18.475;7.1
ott-21;1535.381;1284.271;143.9;270.5;2010389;18.475;6.6
nov-21;1497.673;1409.781;144.2;270;2019838;18.475;6.2
dic-21;1044.006;1300.064;144;269.6;2022291;18.475;6
gen-22;1122.392;1088.536;145.3;273;2017524;18.475;6.5
feb-22;1199.469;1137.359;146.8;274.9;2031691;18.475;5.4
mar-22;1615.2;1391.253;148.9;275.2;2044994;18.475;5.3
apr-22;1247.723;1054.409;149.8;278.3;2048171;18.475;5.3
mag-22;1470.787;1420.679;151.9;278.8;2052045;18.475;5.2
giu-22;1441.278;1439.616;152.9;278.6;2056669;18.475;4.9
lug-22;1456.438;1295.356;153.1;281.4;2060021;18.475;4.9
ago-22;1352.672;1418.803;152.6;281.4;2064415;18.475;5.3
set-22;1316.55;1284.797;152.7;281.3;2067420;18.475;5.2
ott-22;1054.828;1263.033;153.8;282.4;2067219;18.475;5.2
nov-22;1394.949;1257.558;154;285.1;2070097;18.475;5.1
dic-22;765.735;1282.323;153.1;285.4;2068257;18.475;5
